"term","Hypertension (Prevalence)_OR_sig","Diabetes (Prevalence)_OR_sig","Dyslipidemia (Prevalence)_OR_sig","Hypertension (Awareness)_OR_sig","Diabetes (Awareness)_OR_sig","Dyslipidemia (Awareness)_OR_sig","Hypertension (Prevalence)_p.value","Diabetes (Prevalence)_p.value","Dyslipidemia (Prevalence)_p.value","Hypertension (Awareness)_p.value","Diabetes (Awareness)_p.value","Dyslipidemia (Awareness)_p.value"
"strata1_1_1_4","5.81 (1.70–19.87)**","2.64 (0.32–22.06)","12.92 (1.57–106.18)*","0.60 (0.06–6.43)","708703.51 (NaN–NaN)","0.00 (NaN–NaN)",0.00506891997658538,0.369872166736718,0.0172447825245048,0.66946646331121,NA,NA
"strata2_1_1_4","6.32 (1.87–21.30)**","4.01 (0.49–32.81)","18.92 (2.33–153.67)**","0.80 (0.07–8.51)","818046.59 (NaN–NaN)","0.00 (NaN–NaN)",0.00294863184470313,0.19502432996885,0.00594730312587501,0.851398655484152,NA,NA
"strata0_0_0_5","9.31 (2.70–32.07)***","3.24 (0.39–27.10)","12.33 (1.50–101.46)*","0.91 (0.08–9.87)","325623.70 (NaN–NaN)","0.00 (NaN–NaN)",0.000404802337239346,0.278166856812352,0.019497291286755,0.939286942832176,NA,NA
"strata1_0_0_5","25.99 (5.94–113.72)***","6.42 (0.72–57.52)","18.55 (2.07–166.40)**","0.48 (0.04–5.45)","1049497.95 (NaN–NaN)","0.00 (NaN–NaN)",1.52238609376248e-05,0.0966256292848152,0.00909376153164067,0.552737864211224,NA,NA
"strata2_0_0_5","19.85 (4.79–82.23)***","6.38 (0.70–57.82)","10.55 (1.19–93.68)*","2.04 (0.16–25.71)","3625202.17 (NaN–NaN)","0.00 (NaN–NaN)",3.7746819737977e-05,0.0996475033021159,0.0345199983257775,0.580895142319655,NA,NA
"strata0_1_0_5","5.64 (1.59–20.05)**","1.91 (0.22–16.64)","7.37 (0.87–62.12)","0.42 (0.04–4.71)","0.00 (NaN–NaN)","0.00 (NaN–NaN)",0.0074837615622126,0.559968095273215,0.0662196450604638,0.480245476627701,NA,NA
"strata1_1_0_5","10.76 (2.30–50.46)**","2.28 (0.21–24.26)","14.11 (1.45–137.41)*","0.24 (0.02–3.24)","264863.51 (NaN–NaN)","0.00 (NaN–NaN)",0.00258090962982476,0.494357940536238,0.0226371660992234,0.283235284752292,NA,NA
"strata2_1_0_5","48.55 (4.46–528.07)**","1.18 (0.06–22.60)","9.50 (0.85–105.85)","0.14 (0.01–2.04)","95791983517855534833483868001579147037511295977942908057618813885172306107384397352200730899906560.00 (NaN–NaN)","0.00 (NaN–NaN)",0.00142914640320101,0.913276448231919,0.0671930171668605,0.148450762281473,NA,NA
"strata0_0_1_5","8.06 (2.41–27.01)***","3.25 (0.40–26.55)","12.07 (1.49–97.75)*","0.65 (0.06–6.85)","354775.13 (NaN–NaN)","0.00 (NaN–NaN)",0.000719108011346428,0.271132866870368,0.0195667594196251,0.718782192141003,NA,NA
"strata1_0_1_5","11.93 (3.34–42.64)***","2.83 (0.33–24.10)","15.16 (1.82–126.41)*","0.78 (0.07–8.64)","271166.82 (NaN–NaN)","0.00 (NaN–NaN)",0.000137172256907617,0.341001494540246,0.0119864289489688,0.843147893598208,NA,NA
"strata2_0_1_5","6.03 (1.72–21.20)**","4.54 (0.54–38.34)","19.70 (2.35–165.29)**","0.96 (0.09–10.79)","1365188.30 (NaN–NaN)","0.00 (NaN–NaN)",0.00505753094392431,0.164213833897952,0.00601995994296788,0.973094323303511,NA,NA
"strata0_1_1_5","7.03 (2.10–23.46)**","2.46 (0.30–20.04)","7.20 (0.89–58.22)","0.60 (0.06–6.31)","178311.58 (NaN–NaN)","0.00 (NaN–NaN)",0.00152799408047563,0.401498090241303,0.064051830761791,0.670039367733042,NA,NA
"strata1_1_1_5","7.68 (2.19–26.87)**","2.28 (0.27–19.38)","10.63 (1.28–88.25)*","0.51 (0.05–5.62)","153914.41 (NaN–NaN)","0.00 (NaN–NaN)",0.00143047095741102,0.451226294043997,0.0286346194698265,0.584389377369788,NA,NA
"strata2_1_1_5","7.35 (2.15–25.09)**","4.29 (0.52–35.47)","15.24 (1.86–124.93)*","0.85 (0.08–9.16)","1277416.29 (NaN–NaN)","0.00 (NaN–NaN)",0.00145679694009556,0.17637923015983,0.0111462393615812,0.893659228718351,NA,NA
"strata0_0_0_6","19.78 (5.84–67.01)***","3.05 (0.37–24.99)","10.53 (1.30–85.37)*","0.45 (0.04–4.76)","165747.95 (NaN–NaN)","0.00 (NaN–NaN)",1.64192716725898e-06,0.299237077104669,0.0275030685347415,0.509498648813021,NA,NA
"strata1_0_0_6","19.40 (5.41–69.54)***","5.72 (0.68–48.43)","12.83 (1.53–107.33)*","0.53 (0.05–5.71)","326149.63 (NaN–NaN)","0.00 (NaN–NaN)",5.30519121740819e-06,0.109334008401065,0.0185363738623567,0.599597820572038,NA,NA
"strata2_0_0_6","23.02 (6.27–84.51)***","6.94 (0.82–58.88)","18.25 (2.16–153.92)**","0.80 (0.07–8.74)","432287.54 (NaN–NaN)","0.00 (NaN–NaN)",2.27740256950528e-06,0.0758823878984501,0.00758482915755408,0.856767230722986,NA,NA
"strata0_1_0_6","12.32 (3.55–42.77)***","2.66 (0.32–22.30)","10.27 (1.25–84.63)*","0.37 (0.03–3.93)","283331.19 (NaN–NaN)","0.00 (NaN–NaN)",7.67783206837204e-05,0.368361271624699,0.0304310385434356,0.406228978305134,NA,NA
"strata1_1_0_6","15.96 (3.79–67.21)***","1.75 (0.18–17.39)","5.27 (0.57–48.43)","0.32 (0.03–3.91)","243483.35 (NaN–NaN)","0.00 (NaN–NaN)",0.000159313390107745,0.634362631749774,0.141667457124171,0.374979552003062,NA,NA
"strata2_1_0_6","18.16 (4.37–75.39)***","4.46 (0.48–41.20)","17.57 (1.93–160.14)*","0.65 (0.06–7.62)","1194034.68 (NaN–NaN)","0.00 (NaN–NaN)",6.57163954335693e-05,0.187016057078644,0.0110038939222303,0.730680889120083,NA,NA
"strata0_0_1_6","20.82 (6.02–71.95)***","4.11 (0.50–33.88)","9.81 (1.20–80.16)*","0.54 (0.05–5.76)","200774.12 (NaN–NaN)","0.00 (NaN–NaN)",1.60415883871836e-06,0.18893408385809,0.0331806724846056,0.613012511269529,NA,NA
"strata1_0_1_6","10.73 (2.90–39.72)***","4.21 (0.48–36.83)","16.05 (1.87–137.45)*","0.50 (0.04–5.58)","261533.14 (NaN–NaN)","0.00 (NaN–NaN)",0.000379692016069296,0.193795169125233,0.0112979334011641,0.570311503306848,NA,NA
"strata2_0_1_6","15.11 (4.02–56.80)***","8.72 (0.99–76.47)","18.74 (2.15–163.05)**","0.86 (0.08–9.72)","654911.62 (NaN–NaN)","0.00 (NaN–NaN)",5.85792028405955e-05,0.0506579890847867,0.00793536921528102,0.902885457911748,NA,NA
"strata0_1_1_6","9.90 (2.95–33.23)***","2.63 (0.32–21.51)","7.53 (0.93–61.04)","0.41 (0.04–4.30)","171463.09 (NaN–NaN)","0.00 (NaN–NaN)",0.000205204261249488,0.368270242413132,0.0586317323680385,0.455551883626551,NA,NA
"strata1_1_1_6","9.17 (2.58–32.61)***","2.79 (0.32–24.08)","9.32 (1.11–78.33)*","0.43 (0.04–4.81)","307619.04 (NaN–NaN)","0.00 (NaN–NaN)",0.000615906057371536,0.350515512840691,0.0398730298728052,0.496310078619733,NA,NA
"strata2_1_1_6","10.60 (3.11–36.12)***","4.89 (0.59–40.44)","13.69 (1.67–112.02)*","0.69 (0.07–7.39)","731156.55 (NaN–NaN)","0.00 (NaN–NaN)",0.000160206672658723,0.140588391486669,0.0146916238966107,0.76159738546387,NA,NA
